,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status,score_proba
7948,26,52000,RENT,11.0,EDUCATION,A,7000,7.88,0.13,N,3,0,0.05406838514087354
32041,38,81000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,10000,14.27,0.12,N,11,0,0.09524509500746663
20386,28,34000,MORTGAGE,7.0,HOMEIMPROVEMENT,C,2500,12.23,0.07,Y,9,1,0.0877017131047901
5998,24,60500,RENT,2.0,PERSONAL,D,5600,14.91,0.09,N,3,1,0.5360115983003733
12043,26,78948,MORTGAGE,3.0,MEDICAL,B,17500,11.83,0.22,N,2,0,0.09090288347183177
17166,23,42000,MORTGAGE,1.0,PERSONAL,C,5750,13.57,0.14,N,2,0,0.09833763720341475
16342,26,125000,MORTGAGE,10.0,PERSONAL,A,10200,7.49,0.08,N,2,0,0.012789625983391286
21373,28,47820,OWN,12.0,MEDICAL,A,6000,5.42,0.13,N,9,0,0.009511217886807912
15371,25,131000,MORTGAGE,1.0,PERSONAL,C,7500,12.29,0.06,N,3,0,0.031336335145333474
23719,29,40000,RENT,0.0,VENTURE,C,9250,14.65,0.23,N,7,0,0.2684411259371838
8933,26,48701,RENT,3.0,MEDICAL,B,8000,11.48,0.16,N,4,0,0.21011041069234362
30376,46,52800,MORTGAGE,1.0,MEDICAL,A,2800,6.76,0.05,N,14,0,0.026914709873405624
16755,23,90096,MORTGAGE,0.0,EDUCATION,C,10150,11.97,0.11,N,3,0,0.03338500461890156
6750,25,50000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,5000,11.36,0.1,N,2,0,0.07415220042024118
11459,24,75000,MORTGAGE,4.0,VENTURE,B,16000,12.42,0.21,N,2,0,0.03937871795089614
23295,29,62400,RENT,3.0,HOMEIMPROVEMENT,A,8000,6.62,0.13,N,8,0,0.1195367883058359
13775,23,96000,OWN,8.0,MEDICAL,C,8000,13.49,0.08,N,3,0,0.012175441846655229
437,23,74700,RENT,6.0,PERSONAL,D,24000,12.92,0.32,N,2,1,0.739856736336408
14351,25,36000,RENT,0.0,VENTURE,D,14500,14.54,0.4,Y,2,1,0.9365157486006467
500,24,60000,RENT,3.0,VENTURE,C,22000,14.26,0.37,Y,2,1,0.3577851736133732
17223,22,55000,OWN,,PERSONAL,A,1275,6.91,0.02,N,4,0,0.0030222020075831198
25865,29,15000,RENT,,DEBTCONSOLIDATION,D,2600,16.29,0.17,N,10,1,0.8963227921370985
11872,24,77000,MORTGAGE,1.0,HOMEIMPROVEMENT,B,4000,11.99,0.05,N,2,0,0.05566119969094802
30788,37,44004,RENT,2.0,PERSONAL,C,9200,12.84,0.21,N,13,1,0.2843757432607598
16651,23,120000,MORTGAGE,5.0,VENTURE,B,6000,9.99,0.05,N,3,0,0.012527572834483492
10775,25,40000,RENT,0.0,EDUCATION,B,10000,12.18,0.25,N,3,0,0.2746452804452878
10343,23,67000,MORTGAGE,7.0,MEDICAL,B,2500,11.71,0.04,N,3,0,0.041061938288402836
16407,26,110000,MORTGAGE,1.0,EDUCATION,B,5000,12.69,0.05,N,3,0,0.022241601891341046
25718,31,90000,MORTGAGE,6.0,MEDICAL,B,18000,,0.2,N,8,0,0.062475351076565204
25972,29,94000,MORTGAGE,9.0,PERSONAL,A,10000,7.51,0.11,N,7,0,0.018801550997985927
4774,23,32000,RENT,3.0,DEBTCONSOLIDATION,C,5000,14.79,0.16,N,2,0,0.409257423980317
23592,29,30000,RENT,7.0,HOMEIMPROVEMENT,A,9000,6.91,0.3,N,8,1,0.5133307778411902
17704,23,43500,RENT,0.0,PERSONAL,C,10450,13.57,0.24,N,3,0,0.3650404833572612
21127,27,45000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,16750,8.94,0.37,N,7,0,0.3640036810857892
20912,27,85000,RENT,6.0,HOMEIMPROVEMENT,B,9000,10.36,0.11,N,5,0,0.1272995305434427
6568,24,42000,RENT,2.0,HOMEIMPROVEMENT,D,6000,14.96,0.14,Y,3,1,0.7988438184569636
26702,32,42000,RENT,0.0,EDUCATION,D,2000,15.62,0.05,N,6,1,0.44383139163199203
22851,27,58800,MORTGAGE,0.0,EDUCATION,C,9800,13.22,0.17,Y,9,0,0.07381975350696827
13859,23,97000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,16000,6.62,0.16,N,2,0,0.03621895156188673
27880,32,83300,RENT,0.0,MEDICAL,D,19600,17.19,0.2,Y,7,1,0.6733056079795964
29358,42,45000,RENT,1.0,DEBTCONSOLIDATION,B,18200,10.83,0.4,N,14,1,0.7069938732070893
17106,26,42000,RENT,2.0,MEDICAL,C,5000,11.91,0.12,Y,2,0,0.21132244543981668
15461,22,137004,MORTGAGE,3.0,VENTURE,A,10000,5.79,0.07,N,2,0,0.006963830806692889
9248,22,60000,MORTGAGE,1.0,EDUCATION,C,7500,11.66,0.13,N,2,0,0.0521824801763623
28796,34,480000,MORTGAGE,5.0,PERSONAL,D,14000,14.61,0.03,N,9,0,0.13226352078286022
1930,24,57996,RENT,8.0,MEDICAL,D,2000,15.37,0.03,N,4,1,0.5327504615647394
21537,33,48000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,5000,,0.1,N,10,0,0.07974749399397209
2856,25,35000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,7000,,0.2,N,2,0,0.16162887609749882
30007,36,43680,MORTGAGE,0.0,PERSONAL,C,15000,13.11,0.34,N,15,0,0.3552465958722577
587,23,32900,RENT,1.0,EDUCATION,D,20000,16.0,0.61,N,2,1,0.9948189474625427
29832,45,55000,RENT,1.0,PERSONAL,A,4000,6.03,0.07,N,12,0,0.04218283604635869
12227,22,74000,MORTGAGE,0.0,VENTURE,G,19000,20.48,0.26,Y,2,1,0.9727032633392738
8338,24,51000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,12000,,0.24,N,3,1,0.19325969990282882
22056,29,52000,OWN,0.0,VENTURE,B,16000,10.99,0.31,N,8,0,0.028261105448803978
23163,29,60000,OWN,13.0,VENTURE,A,1000,6.76,0.02,N,8,0,0.001625898809252039
24395,28,72000,MORTGAGE,12.0,PERSONAL,E,16000,15.95,0.22,N,5,0,0.5328769139375903
21924,35,88020,RENT,6.0,PERSONAL,D,6000,15.37,0.07,Y,8,0,0.44667673160088966
10856,26,64000,MORTGAGE,5.0,DEBTCONSOLIDATION,D,7000,15.95,0.11,N,2,1,0.5238176884373081
11322,25,56950,MORTGAGE,9.0,MEDICAL,C,25000,10.91,0.37,Y,3,1,0.24800599375748333
643,23,20004,MORTGAGE,6.0,PERSONAL,A,7125,6.99,0.36,N,2,0,0.38798650173521265
5395,24,45000,MORTGAGE,3.0,VENTURE,C,15000,13.06,0.33,N,3,0,0.22031926875476107
6363,22,49032,MORTGAGE,6.0,EDUCATION,B,2400,11.86,0.05,N,2,0,0.023963398117224328
18416,28,79701,RENT,11.0,PERSONAL,C,20000,13.92,0.25,N,7,0,0.18047552171094527
32140,38,78000,MORTGAGE,8.0,VENTURE,A,6250,6.76,0.08,N,16,0,0.010638033004629692
31325,37,90000,RENT,15.0,PERSONAL,A,12000,7.51,0.13,N,13,0,0.03996117081820769
26798,34,113500,OWN,4.0,HOMEIMPROVEMENT,A,3000,6.39,0.03,N,8,0,0.005684880346305474
538,22,19200,MORTGAGE,6.0,DEBTCONSOLIDATION,C,5000,14.17,0.26,Y,2,1,0.49513214015800117
25690,31,90000,MORTGAGE,11.0,DEBTCONSOLIDATION,B,6000,11.71,0.07,N,8,0,0.04839604539864114
32417,52,52000,MORTGAGE,2.0,PERSONAL,A,10000,,0.19,N,29,0,0.06681097067908394
22582,30,115000,RENT,7.0,DEBTCONSOLIDATION,B,7300,10.25,0.06,N,9,0,0.08065287124830034
31269,47,65000,RENT,9.0,EDUCATION,A,12000,5.42,0.18,N,17,0,0.051609028977549536
28787,34,30144,MORTGAGE,3.0,DEBTCONSOLIDATION,C,18000,12.84,0.6,Y,5,0,0.9523153516930846
2732,23,34000,OWN,7.0,VENTURE,A,10950,7.29,0.32,N,2,0,0.031183708029816647
18380,27,67000,RENT,2.0,HOMEIMPROVEMENT,C,20000,14.26,0.3,Y,10,0,0.4821826134097016
8574,22,21000,RENT,7.0,EDUCATION,D,8000,16.77,0.38,Y,2,1,0.968450696613625
28966,32,64000,RENT,1.0,HOMEIMPROVEMENT,B,10000,12.69,0.16,N,8,0,0.23622445553755989
14248,22,102000,OWN,1.0,MEDICAL,C,7000,12.87,0.07,N,3,0,0.012619749839177736
9399,24,62000,MORTGAGE,7.0,PERSONAL,A,6200,,0.1,N,3,0,0.03115196352998169
22657,32,40000,RENT,2.0,EDUCATION,A,7500,8.0,0.19,N,6,0,0.11650542169868108
19139,30,31200,RENT,7.0,MEDICAL,D,2400,16.49,0.08,Y,6,0,0.6786776502761525
9572,26,40000,RENT,0.0,VENTURE,A,8200,6.62,0.2,N,4,0,0.09320977189290015
6009,22,70000,RENT,3.0,PERSONAL,B,5600,11.14,0.08,N,3,0,0.072444121108104
4878,23,32000,RENT,,PERSONAL,B,5000,9.91,0.16,N,3,1,0.16871810066755352
22617,33,33000,RENT,0.0,PERSONAL,C,7500,11.34,0.23,N,9,0,0.36024353335146053
2529,22,21600,RENT,2.0,EDUCATION,C,3000,13.49,0.14,N,3,0,0.19846612034063837
6755,25,96000,RENT,9.0,HOMEIMPROVEMENT,A,7075,5.99,0.07,N,4,0,0.05915949233316293
28054,32,120000,RENT,11.0,EDUCATION,A,12000,7.51,0.1,N,9,0,0.023531650889404163
26244,29,99780,MORTGAGE,14.0,HOMEIMPROVEMENT,B,6000,11.14,0.06,N,8,0,0.0421634899613138
13933,21,55260,RENT,0.0,EDUCATION,A,14000,6.54,0.25,N,2,0,0.1245425632152461
1170,23,60000,RENT,0.0,MEDICAL,C,16800,13.85,0.28,Y,2,0,0.4370127731079288
3991,24,52000,RENT,3.0,MEDICAL,B,4000,9.88,0.08,N,2,0,0.11261665718959024
26235,27,99000,MORTGAGE,4.0,VENTURE,A,9000,7.14,0.09,N,8,0,0.010356258488472376
9295,25,55000,MORTGAGE,4.0,MEDICAL,D,9000,16.77,0.16,Y,2,1,0.5935854799168783
21546,27,31200,RENT,0.0,VENTURE,C,6000,13.49,0.19,Y,7,0,0.21175398793870193
6525,26,39600,RENT,3.0,PERSONAL,B,6000,12.42,0.15,N,3,1,0.16312209917128861
6238,24,30000,RENT,0.0,MEDICAL,C,6000,13.49,0.2,N,2,0,0.45103691112136973
28993,33,21000,OWN,1.0,HOMEIMPROVEMENT,B,7750,11.83,0.37,N,7,0,0.3306799049574299
24495,33,56000,RENT,2.0,EDUCATION,A,10000,7.74,0.18,N,5,0,0.08126769265870308
19799,31,80000,RENT,4.0,PERSONAL,C,3500,12.99,0.04,Y,7,0,0.07198776469943266
23714,27,65000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,15000,10.75,0.23,N,5,0,0.14028346219699614
23270,28,26000,RENT,9.0,MEDICAL,B,5000,11.71,0.19,N,7,0,0.3297964377494556
15965,24,21600,RENT,0.0,DEBTCONSOLIDATION,C,6600,12.68,0.31,N,4,1,0.7871794938411579
10463,25,68000,MORTGAGE,2.0,VENTURE,C,6500,12.99,0.1,Y,3,0,0.032507601077190536
13245,22,30000,RENT,0.0,HOMEIMPROVEMENT,D,12250,13.67,0.41,Y,4,1,0.9851294226030061
11356,23,59000,RENT,7.0,EDUCATION,C,10000,,0.17,Y,3,0,0.12072636011864855
32451,51,45000,RENT,2.0,MEDICAL,C,8400,13.11,0.19,Y,18,0,0.3280462700335197
28555,27,80000,MORTGAGE,7.0,MEDICAL,B,7400,12.69,0.09,N,10,0,0.05133419574562267
12022,22,78400,MORTGAGE,2.0,VENTURE,D,5000,17.49,0.06,Y,3,0,0.20794614167774308
23921,29,67422,MORTGAGE,13.0,EDUCATION,B,12800,11.49,0.19,N,8,0,0.0442269265231595
5713,25,32160,RENT,9.0,DEBTCONSOLIDATION,C,5200,14.65,0.16,N,4,0,0.38166942243268853
24694,29,75000,OWN,3.0,HOMEIMPROVEMENT,A,12000,7.51,0.16,N,5,0,0.012749841195241838
7973,24,55000,MORTGAGE,3.0,EDUCATION,D,7500,14.84,0.14,Y,2,0,0.3659130826358814
6533,21,46200,RENT,5.0,EDUCATION,A,6000,,0.13,N,4,0,0.08084203127220539
7138,24,51996,MORTGAGE,3.0,PERSONAL,A,7000,7.49,0.13,N,3,0,0.03411875886109911
14002,25,100000,MORTGAGE,9.0,PERSONAL,A,6000,8.9,0.06,N,3,0,0.016698031238786507
29112,28,31000,RENT,7.0,MEDICAL,D,3600,14.11,0.12,Y,8,1,0.7281436059650982
25780,31,46080,RENT,3.0,MEDICAL,E,2800,17.56,0.06,N,10,0,0.7111082886801083
20358,34,40000,OWN,2.0,EDUCATION,B,2000,10.74,0.05,N,6,0,0.00490098519919989
6579,23,44000,MORTGAGE,7.0,PERSONAL,A,10000,8.49,0.23,N,4,1,0.08856649635235983
17083,22,37000,RENT,3.0,PERSONAL,B,15000,10.25,0.41,N,4,1,0.6652218441498392
23369,27,56000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,10000,6.91,0.18,N,8,1,0.08768014540436092
16218,22,38400,MORTGAGE,,PERSONAL,B,5000,11.49,0.13,N,3,0,0.06381392561066893
13255,23,36000,RENT,4.0,MEDICAL,B,12250,10.74,0.34,N,3,1,0.6261140480098589
28236,30,34000,RENT,1.0,HOMEIMPROVEMENT,C,7500,,0.22,Y,8,1,0.4767073178371435
17535,23,40000,RENT,7.0,VENTURE,B,10000,10.36,0.25,N,3,0,0.1910026583713933
5623,23,45500,OWN,5.0,EDUCATION,C,14000,14.72,0.31,Y,2,0,0.06375326277026012
17700,23,85500,RENT,1.0,DEBTCONSOLIDATION,C,17000,13.11,0.2,Y,3,0,0.2372759792081245
10311,21,28000,RENT,1.0,HOMEIMPROVEMENT,C,9700,11.34,0.35,N,2,1,0.8112425081264466
24432,27,72000,MORTGAGE,8.0,VENTURE,C,15250,13.16,0.21,Y,5,0,0.05035202725664988
24343,31,72000,MORTGAGE,6.0,HOMEIMPROVEMENT,A,9800,6.62,0.14,N,8,0,0.05131394013649836
23425,33,155000,RENT,3.0,MEDICAL,A,8000,7.9,0.05,N,6,0,0.04357171258271163
20864,29,60000,RENT,7.0,EDUCATION,C,9000,13.61,0.15,N,9,0,0.12835701366903957
4396,22,31200,RENT,,VENTURE,B,4800,10.37,0.15,N,4,0,0.10230995053808391
2580,25,33000,RENT,6.0,PERSONAL,B,3000,10.95,0.09,N,4,0,0.09466923595406267
22887,27,59147,MORTGAGE,11.0,MEDICAL,B,7000,11.26,0.12,N,5,0,0.06400085047143175
19253,29,21996,RENT,4.0,DEBTCONSOLIDATION,C,2500,13.11,0.11,Y,8,1,0.2774578947685561
20650,31,28800,RENT,1.0,VENTURE,B,5000,9.25,0.17,N,7,0,0.11901266683939637
15579,23,147000,MORTGAGE,4.0,DEBTCONSOLIDATION,B,25000,10.25,0.17,N,3,0,0.026984814898330663
26299,31,76500,RENT,1.0,EDUCATION,B,14000,11.49,0.18,N,10,0,0.08859259185756298
4672,24,42000,MORTGAGE,8.0,PERSONAL,B,1000,11.49,0.02,N,4,0,0.022668530645255865
12332,25,80000,MORTGAGE,10.0,EDUCATION,D,25000,15.31,0.31,N,2,0,0.4618410932592428
26210,29,55000,RENT,3.0,EDUCATION,B,14000,11.48,0.25,N,7,0,0.1870454370136438
2284,24,46540,RENT,5.0,VENTURE,D,13000,,0.28,Y,2,0,0.7236503927082418
24193,27,45000,RENT,1.0,EDUCATION,C,10000,,0.22,N,9,0,0.22721990675627646
28466,28,45000,RENT,4.0,MEDICAL,C,9000,14.65,0.2,N,6,0,0.38547095324611674
9853,23,40000,RENT,4.0,VENTURE,A,9000,7.49,0.23,N,3,0,0.1248546081994478
12874,25,85000,MORTGAGE,9.0,VENTURE,C,7200,13.57,0.08,N,3,0,0.023657404930242494
29096,35,106369,MORTGAGE,2.0,VENTURE,A,8325,6.99,0.08,N,10,0,0.0097581015160461
27237,27,116899,MORTGAGE,12.0,DEBTCONSOLIDATION,B,12000,10.75,0.1,N,7,1,0.03724971810757582
32472,51,74628,MORTGAGE,3.0,PERSONAL,C,3000,13.49,0.04,Y,18,0,0.034418904992125514
5432,24,56000,RENT,8.0,PERSONAL,C,5000,14.27,0.09,N,4,0,0.12009335947303
15482,23,140000,MORTGAGE,7.0,PERSONAL,B,12000,11.71,0.09,N,4,0,0.021060402696523747
21800,34,62000,RENT,1.0,HOMEIMPROVEMENT,A,6000,7.49,0.1,N,9,0,0.10848171530855681
15330,24,130000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,15000,7.88,0.12,N,4,0,0.027417463961907033
8954,24,60000,MORTGAGE,8.0,VENTURE,B,12000,9.62,0.2,N,4,0,0.039967788552429884
16852,26,63000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,3500,7.68,0.06,N,4,0,0.03610594871734453
32056,39,37800,RENT,5.0,DEBTCONSOLIDATION,B,7000,11.49,0.19,N,16,0,0.3329459996315762
27363,31,135000,MORTGAGE,12.0,MEDICAL,C,15000,13.85,0.11,N,10,0,0.04091083113486918
2308,24,31200,MORTGAGE,2.0,EDUCATION,C,6700,14.26,0.21,Y,2,0,0.15791287472561136
15719,25,157000,MORTGAGE,8.0,PERSONAL,A,28000,7.49,0.18,N,4,0,0.007936416399789014
26094,35,96000,MORTGAGE,5.0,MEDICAL,A,14000,7.49,0.15,N,10,0,0.03337815903086438
15287,22,60000,RENT,5.0,EDUCATION,B,15000,10.59,0.25,N,3,0,0.16185957657108288
7191,23,52000,MORTGAGE,7.0,EDUCATION,A,8400,8.9,0.16,N,2,0,0.03548506465961154
30467,43,55000,OWN,17.0,VENTURE,B,2000,12.53,0.04,N,11,0,0.0031076533810382454
4770,25,32000,RENT,9.0,VENTURE,C,5000,14.27,0.16,Y,4,1,0.1586178112230791
7466,24,53000,OWN,8.0,MEDICAL,A,3350,6.76,0.06,N,2,0,0.0058816461086622935
19021,31,40000,RENT,3.0,MEDICAL,B,2000,10.37,0.05,N,7,0,0.0961379272363401
8136,25,56000,MORTGAGE,5.0,PERSONAL,C,10250,14.65,0.18,Y,4,0,0.10306678909120771
7382,24,52800,MORTGAGE,8.0,EDUCATION,A,4000,7.88,0.08,N,4,0,0.018430005730293148
25799,28,90000,MORTGAGE,7.0,HOMEIMPROVEMENT,E,17600,16.35,0.2,Y,5,0,0.6139008934202527
16540,24,37000,MORTGAGE,8.0,MEDICAL,B,10000,10.99,0.27,N,3,0,0.2628289874257704
3086,21,33000,RENT,5.0,VENTURE,C,3375,13.49,0.1,Y,3,0,0.09335477563177122
15305,26,130000,MORTGAGE,3.0,MEDICAL,A,8600,5.99,0.07,N,3,0,0.020442021198438385
19478,31,33600,MORTGAGE,1.0,HOMEIMPROVEMENT,B,15250,12.53,0.45,N,6,0,0.7687766675203122
19061,30,11292,RENT,,MEDICAL,A,2100,6.76,0.19,N,6,1,0.2878308612477512
10461,22,30000,RENT,4.0,EDUCATION,B,10000,11.86,0.33,N,2,1,0.499172193998731
17635,25,34000,RENT,0.0,EDUCATION,C,10000,13.79,0.29,Y,2,1,0.4619035801767856
30331,38,62000,RENT,5.0,EDUCATION,B,7000,10.62,0.11,N,14,0,0.0649507911247808
1137,26,25000,OWN,0.0,VENTURE,C,7400,,0.3,N,2,0,0.07053445924432838
19715,34,44000,RENT,0.0,EDUCATION,C,3400,13.49,0.08,Y,8,0,0.09604585608365139
4868,24,42000,OWN,1.0,VENTURE,B,7500,10.51,0.18,N,3,0,0.012056234396433404
2460,24,32004,MORTGAGE,5.0,VENTURE,C,14000,12.73,0.44,N,4,0,0.554728463098753
15700,25,155004,MORTGAGE,9.0,HOMEIMPROVEMENT,A,10500,7.49,0.07,N,2,0,0.022529787445280596
23752,31,21900,RENT,,PERSONAL,D,9500,14.59,0.43,N,8,1,0.983406878432364
4664,23,42000,MORTGAGE,7.0,EDUCATION,B,8000,10.99,0.19,N,4,0,0.07284773377793269
8134,23,105000,RENT,7.0,PERSONAL,B,7200,11.71,0.07,N,4,0,0.05641521271553209
1182,22,44500,RENT,1.0,DEBTCONSOLIDATION,B,16750,10.75,0.38,N,4,1,0.6931888261053616
19991,27,45000,RENT,6.0,VENTURE,B,3600,12.42,0.08,N,8,0,0.05565689270084953
29147,47,12000,OWN,,MEDICAL,B,1950,12.69,0.16,N,12,1,0.042299933037573144
2658,23,33600,MORTGAGE,,DEBTCONSOLIDATION,C,4000,14.79,0.12,N,2,0,0.1646255026107383
4716,24,42000,MORTGAGE,8.0,HOMEIMPROVEMENT,D,2500,15.28,0.06,N,2,0,0.46259048425881905
5801,23,46800,OWN,7.0,VENTURE,C,9000,,0.19,Y,4,0,0.013648432258153558
11800,24,76000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,13500,9.99,0.18,N,3,0,0.08204280293894127
994,25,52526,RENT,9.0,VENTURE,B,18000,12.21,0.34,N,2,1,0.27088207865636316
5918,24,19800,RENT,1.0,DEBTCONSOLIDATION,A,5600,5.79,0.28,N,3,1,0.5229130866134992
9244,23,60000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,7500,8.0,0.13,N,2,0,0.06458276934919734
30564,36,59004,MORTGAGE,11.0,VENTURE,A,10000,7.51,0.17,N,15,0,0.022929726405932802
23720,35,34000,RENT,1.0,PERSONAL,B,9250,10.59,0.27,N,10,1,0.37006961917601133
21517,27,28000,RENT,3.0,VENTURE,C,6000,13.92,0.21,N,6,0,0.263391295428636
600,24,45000,RENT,8.0,MEDICAL,E,20000,,0.44,N,2,1,0.9715509470845758
15202,26,55000,RENT,10.0,MEDICAL,B,15000,11.12,0.27,N,2,0,0.32367160725888106
30535,41,58000,MORTGAGE,12.0,DEBTCONSOLIDATION,A,1800,7.51,0.03,N,12,0,0.025799295335511382
17813,23,75000,RENT,4.0,PERSONAL,B,5000,,0.07,N,4,0,0.0667966291216579
23798,32,40000,RENT,1.0,DEBTCONSOLIDATION,C,9600,13.48,0.24,Y,5,0,0.5183663700830897
22944,28,60000,MORTGAGE,12.0,EDUCATION,A,13000,8.9,0.22,N,10,0,0.045056925991993006
19774,28,36000,OWN,0.0,PERSONAL,D,2500,15.99,0.07,Y,8,0,0.10360952952836883
6029,23,67200,RENT,7.0,EDUCATION,C,5650,13.47,0.08,N,2,0,0.07734937127470534
5103,23,43600,MORTGAGE,4.0,EDUCATION,A,7000,7.49,0.16,N,4,0,0.038312490411045806
11885,25,77000,MORTGAGE,6.0,EDUCATION,D,8000,15.33,0.1,N,2,0,0.2558966198129757
845,22,22800,MORTGAGE,,PERSONAL,C,8300,12.61,0.36,Y,2,1,0.5574908353115998
32323,52,59004,RENT,4.0,DEBTCONSOLIDATION,D,20000,15.58,0.34,N,22,1,0.924563570403953
7742,24,33198,RENT,3.0,MEDICAL,C,7000,14.27,0.21,N,3,1,0.46328209526627684
12945,26,80000,RENT,10.0,VENTURE,B,12000,11.83,0.15,N,3,0,0.054219672867862834
16839,25,51000,MORTGAGE,6.0,EDUCATION,E,16750,16.4,0.33,N,3,0,0.7916212694474553
5994,22,48000,OWN,0.0,VENTURE,D,1500,16.29,0.03,N,3,0,0.04757779438818742
10401,26,67260,MORTGAGE,9.0,HOMEIMPROVEMENT,A,6500,7.14,0.1,N,2,0,0.043048994260441655
9024,22,60000,MORTGAGE,7.0,VENTURE,C,7000,13.61,0.12,Y,3,0,0.03898131342889967
25953,27,101877,RENT,9.0,VENTURE,B,12500,11.99,0.12,N,7,0,0.037566976889292183
7188,23,76000,RENT,0.0,PERSONAL,D,7000,14.96,0.09,N,4,1,0.5138483745332754
11480,25,75000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,12000,13.49,0.16,N,4,0,0.12616435611706112
18745,31,26000,MORTGAGE,1.0,HOMEIMPROVEMENT,C,2400,14.27,0.09,N,9,0,0.13949114033899315
4832,22,42000,MORTGAGE,6.0,MEDICAL,A,5000,8.94,0.12,N,2,0,0.05939191644533574
22368,29,39996,RENT,3.0,PERSONAL,A,7000,9.32,0.18,N,6,0,0.14757498057905263
18550,27,24000,OWN,4.0,EDUCATION,C,4000,12.99,0.17,N,6,0,0.027171228621336915
17764,24,28000,RENT,3.0,MEDICAL,E,6400,14.75,0.23,Y,4,0,0.9236982589791021
25435,27,70000,RENT,6.0,VENTURE,B,12000,10.99,0.17,N,8,0,0.06874783222774926
13479,21,18000,RENT,3.0,EDUCATION,A,2500,7.88,0.14,N,2,0,0.10198350229729876
29215,38,175000,MORTGAGE,10.0,EDUCATION,B,21000,9.99,0.12,N,14,0,0.008160226801584005
16587,21,26400,RENT,5.0,PERSONAL,C,4750,12.23,0.18,N,3,0,0.28442267861401943
11363,22,74000,MORTGAGE,6.0,MEDICAL,A,4000,6.99,0.05,N,4,0,0.024820886901195983
22500,32,38000,RENT,0.0,EDUCATION,B,7200,10.08,0.19,N,7,0,0.16284398019546686
22283,32,80000,RENT,0.0,MEDICAL,A,6400,7.88,0.08,N,8,0,0.07064472749463452
27589,28,150000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,15000,7.88,0.1,N,6,0,0.022448832880129704
14697,26,39996,RENT,10.0,MEDICAL,C,15000,13.06,0.38,Y,3,1,0.7347180621563234
4687,25,32400,RENT,2.0,MEDICAL,B,4900,11.49,0.15,N,2,1,0.24266196553000005
32225,44,48000,RENT,0.0,MEDICAL,C,5000,13.43,0.1,N,17,0,0.19454733504295696
4957,23,43000,MORTGAGE,7.0,VENTURE,A,15600,,0.36,N,4,0,0.17676825321271952
3263,26,45000,RENT,6.0,MEDICAL,A,3575,,0.08,N,2,0,0.1021905261929856
7942,23,52000,RENT,3.0,EDUCATION,B,7000,10.65,0.13,N,2,0,0.08602449264225077
24298,32,64000,RENT,1.0,EDUCATION,D,4200,,0.07,Y,5,1,0.36306131554069127
31744,36,65000,RENT,7.0,MEDICAL,C,15000,13.72,0.23,N,11,0,0.30905072264134154
22093,31,52000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,6400,7.88,0.12,N,10,0,0.05856526290081976
1632,24,54000,RENT,8.0,MEDICAL,C,1500,14.17,0.03,Y,2,0,0.11688806061842733
29823,37,49000,RENT,0.0,MEDICAL,B,4000,9.25,0.08,N,13,0,0.10974536391977223
1626,25,50500,RENT,0.0,MEDICAL,B,1500,11.89,0.03,N,3,0,0.09348046975938927
29154,43,267000,MORTGAGE,14.0,DEBTCONSOLIDATION,B,21000,12.69,0.08,N,13,0,0.014859871290079886
25864,28,91000,MORTGAGE,6.0,PERSONAL,B,15000,9.88,0.16,N,9,0,0.03145289299046721
9685,23,63200,OTHER,0.0,DEBTCONSOLIDATION,B,4800,12.53,0.08,N,4,0,0.11637105204866939
9852,24,65000,MORTGAGE,3.0,PERSONAL,B,12000,9.91,0.18,N,3,0,0.05512002448787896
11877,23,95000,RENT,3.0,PERSONAL,A,10000,6.17,0.11,N,3,0,0.04181688246974007
24178,29,45000,RENT,4.0,VENTURE,B,10000,12.42,0.22,N,7,0,0.16101570830611034
708,22,70000,RENT,2.0,PERSONAL,A,20000,6.91,0.29,N,4,0,0.14430362784681133
30060,36,58000,RENT,18.0,VENTURE,A,5000,6.62,0.09,N,16,0,0.026345694540754225
12192,24,29435,RENT,8.0,VENTURE,A,12000,7.66,0.41,N,3,1,0.5099568819956178
17282,26,65000,MORTGAGE,0.0,PERSONAL,A,4000,5.42,0.06,N,2,0,0.017110358091072107
13626,21,44000,RENT,0.0,EDUCATION,D,12875,15.31,0.29,N,2,1,0.8571985791158108
3058,22,35004,OWN,3.0,VENTURE,A,3000,7.9,0.09,N,4,0,0.004037778398498854
